"Director_Name","Language","Language_Fullname"
"Basil Dearden","en","English"
"Bob Keen","en","English"
"Stuart Orme","en","English"
"Nicolas Gessner","en","English"
"David Swift","en","English"
"Carl Foreman","en","English"
"Rouben Mamoulian","en","English"
"Mikael Håfström","sv","Swedish"
"Charles Jarrott","en","English"
"Terence Fisher","en","English"
"David Winters","en","English"
"Jerry Belson","en","English"
"Abel Gance","fr","French"
"Erle C. Kenton","en","English"
"Marvin J. Chomsky","en","English"
"Kenneth Branagh","en","English"
"Matías Bize","es","Spanish; Castilian"
"David Wickes","en","English"
"Paul Morrissey","en","English"
"Betty Thomas","en","English"
"Phil Karlson","en","English"
"Kevin Connor","en","English"
"King Vidor","en","English"
"Lloyd Bacon","en","English"
"Leo McCarey","en","English"
"Jim Mallon","en","English"
"James Ormerod","en","English"
"Glenn A. Jordan","en","English"
"Burt Brinckerhoff","en","English"
"Jed Mercurio","en","English"
"Roger Corman","en","English"
"Charles Barton","en","English"
"Rowland V. Lee","en","English"
"Mark Sandrich","en","English"
"John Cromwell","en","English"
"Preston Sturges","en","English"
"Bryan Forbes","en","English"
"Michael Caton-Jones","en","English"
"James Hawes","en","English"
"Peter Greenaway","en","English"
"Valery Todorovsky","en","English"
"Jack Smight","en","English"
"Peter Werner","en","English"
"Charles Laughton","en","English"
"Pierre Badel","en","English"
"Alain Jessua","fr","French"
"Robert Tinnell","en","English"
"Freddie Francis","en","English"
"Kathi Castillo","en","English"
"Terrence Malick","en","English"
"Virginie Despentes","fr","French"
"Jimmy Sangster","en","English"
"David J. Skal","en","English"
"William Beaudine","en","English"
"Cao Hamburger","pt","Portuguese"
"Mitch Marcus","en","English"
"Jesús Franco","es","Spanish; Castilian"
"Howard W. Koch","en","English"
"Salvatore Mereu","en","English"
"Marv Newland","en","English"
"Oxide Pang Chun","en","English"
"Adriaan Lokman","en","English"
"Kinji Fukasaku","ja","Japanese"
"Kenta Fukasaku","ja","Japanese"
"Gary Walkow","en","English"
"Fred Olen Ray","en","English"
"Jean-Claude Lord","en","English"
"Curt Siodmak","en","English"
"Miguel M. Delgado","es","Spanish; Castilian"
"Larry Fessenden","en","English"
"Marty Allen","en","English"
"Ted Newsom","en","English"
"Alec Sokolow","en","English"
"George Clooney","en","English"
"Martyn Burke","en","English"
"Scott Shaw","en","English"
"Gilbert W. Taylor","en","English"
"Benito Alazraki","es","Spanish; Castilian"
"Jeff Burr","en","English"
"David DeCoteau","en","English"
"Steven C. Miller","en","English"
"Daniel Acht","en","English"
"Dan Ollman","en","English"
"Robert Thalheim","de","German"
"José Antonio Nieves Conde","es","Spanish; Castilian"
"Luigi Zampa","it","Italian"
"Nejat Saydam","en","English"
"Rafael Baledón","en","English"
"Richard Harris","en","English"
"Alberto Bevilacqua","en","English"
"Bruce A. Evans","en","English"
"Emilio Fernández","en","English"
"John Goldschmidt","en","English"
"Pierre Granier-Deferre","fr","French"
"Andrzej Żuławski","fr","French"
"Francis Girod","fr","French"
"Piers Haggard","en","English"
"Sean Ellis","en","English"
"Geoff Murphy","en","English"
"Mario Monicelli","it","Italian"
"Ken Russell","en","English"
"Thorsten Wettcke","de","German"
"W.S. Van Dyke","en","English"
"Isabelle Stever","de","German"
"Jo Baier","de","German"
"Pascale Ferran","en","English"
"Percy Adlon","de","German"
"Berry Gordy","en","English"
"Armin Völckers","en","English"
"Dominique Othenin-Girard","en","English"
"Dennis Dugan","en","English"
"Erik Canuel","fr","French"
"Anthony Asquith","en","English"
"Britta Wauer","en","English"
"Douglas McGrath","en","English"
"Roland Suso Richter","de","German"
"Curtis Bernhardt","en","English"
"Tobe Hooper","en","English"
"Shirô Moritani","ja","Japanese"
"James Merendino","en","English"
"René Clair","fr","French"
"Don Chaffey","en","English"
"Hal Roach","en","English"
"Ernest B. Schoedsack","en","English"
"William Cameron Menzies","en","English"
"Danny Cannon","en","English"
"Gillies MacKinnon","en","English"
"Frederick Stephani","en","English"
"Scott Hicks","en","English"
"Carmine Gallone","it","Italian"
"Clive Donner","en","English"
"Mark Christopher","en","English"
"Harald Reinl","de","German"
"Paul Martin","de","German"
"Gilles Grangier","fr","French"
"Giorgio Ferroni","it","Italian"
"Giorgio Capitani","it","Italian"
"Pierre Chenal","fr","French"
"Michele Lupo","it","Italian"
"Jorge Grau","es","Spanish; Castilian"
"Winfried Oelsner","de","German"
"Kaneto Shindô","ja","Japanese"
"Charles Vidor","en","English"
