"Director_Name","Language","Language_Fullname"
"Matt Ross","en","English"
"Keiichi Kobayashi","en","English"
"Alison Klayman","en","English"
"Emad Burnat","en","English"
"Leslye Headland","en","English"
"Jeff Orlowski","en","English"
"Rick Alverson","en","English"
"Matthew Heineman","en","English"
"Richard Bates Jr.","en","English"
"Luciano Moura","pt","Portuguese"
"Youssef Delara","en","English"
"Kristi Jacobson","en","English"
"Jamie Travis","en","English"
"Rachel Leah Jones","en","English"
"Jean-Baptiste Léonetti","en","English"
"Line Halvorsen","en","English"
"Illeana Douglas","en","English"
"Tim Boggs","en","English"
"Neville de Almeida","pt","Portuguese"
"Jacques Deschamps","fr","French"
"David Schwartz","en","English"
"Don R. Lewis","en","English"
"Destin Cretton","en","English"
"David France","en","English"
"Bart Layton","en","English"
"Babis Makridis","en","English"
"Macky Alston","en","English"
"Matthew Akers","en","English"
"Chris Moukarbel","en","English"
"Aurora Guerrero","en","English"
"Greg Hamilton","en","English"
"Erin Greenwell","en","English"
"Sally El Hosaini","en","English"
"Marius Markevicius","en","English"
"Terence Nance","en","English"
"Laurence Thrush","en","English"
"Lise Birk Pedersen","en","English"
"Jake Schreier","en","English"
"Rodney Ascher","en","English"
"Howy Parkins","en","English"
"Colin Trevorrow","en","English"
"Malik Bendjelloul","en","English"
"Ken Jacobs","en","English"
"Samuel D. Pollard","en","English"
"Mike Birbiglia","en","English"
"Ice-T","en","English"
"Musa Syeed","en","English"
"Karin Hayes","en","English"
"Marialy Rivas","es","Spanish; Castilian"
"Stole Janković","sr","Serbian"
"Guy Gilles","en","English"
"Rubén Galindo Jr.","en","English"
"Emily Hagins","en","English"
"Chad Freidrichs","en","English"
"Edmund Purdom","en","English"
"Jason Hack","en","English"
"Nicolas Provost","en","English"
"Adam Rehmeier","en","English"
"Andy Thompson","en","English"
"Czeslaw Petelski","pl","Polish"
"Shakun Batra","hi","Hindi"
"Tony Hardmon","en","English"
"Diane Bell","en","English"
"Dan Turner","en","English"
"Richard Meech","en","English"
"Brian Iglesias","en","English"
"P.J. Castellaneta","en","English"
"Ting Shan-Hsi","zh","Chinese"
"Nadir Moknèche","fr","French"
"Jean-Philippe Pearson","fr","French"
"Marion Laine","fr","French"
"Daniel Mellitz","en","English"
"Michael Lah","en","English"
"Rolf Hädrich","de","German"
"Fanta Régina Nacro","en","English"
"Yee Chung-Man","cn",NA
"Helen Hood Scheer","en","English"
"Gianluca Maria Tavarelli","it","Italian"
"Mário Márcio Bandarra","pt","Portuguese"
"Rogério Gomes","pt","Portuguese"
"Kidlat Tahimik","en","English"
"Irving Allen","en","English"
"Steven Sprung","en","English"
"Yefim Gamburg","en","English"
"Xiong Xin-Xin","zh","Chinese"
"Barry Poltermann","en","English"
"Cătălin Mitulescu","ro","Romanian; Moldavian; Moldovan"
"David Cobham","en","English"
"Karan Malhotra","en","English"
"Tonino Zangardi","it","Italian"
"Levan Akin","sv","Swedish"
"Kevin Tierney","fr","French"
"Stephen Chbosky","en","English"
"Nando Olival","pt","Portuguese"
"Ian Cheney","en","English"
"John Gianvito","en","English"
"Mark Elliott","en","English"
"Gianluca De Serio","it","Italian"
"Erik Blomberg","fi","Finnish"
"Mark Woods","de","German"
"George Samilski","en","English"
"Shyamaprasad","ml","Malayalam"
"Edgar Morin","fr","French"
"Michael Armstrong","en","English"
"Claudio Castravelli","en","English"
"Tony Lo Bianco","en","English"
"Scooter McCrae","en","English"
"Mikhaël Hers","en","English"
"Parris Patton","en","English"
"Jason Spingarn-Koff","en","English"
"Rob Brown","en","English"
"Rudy Larriva","en","English"
"Stefanie Sycholt","de","German"
"Nina Gilden Seavey","en","English"
"Ben Rivers","en","English"
"Axel Danielson","sv","Swedish"
"Sandhya Suri","en","English"
"Robert Culp","en","English"
"Otto Schenk","de","German"
"Hal Freeman","en","English"
"Danielle Arbid","fr","French"
"Paul Hunt","en","English"
"Michael Wikke","en","English"
"Joseph Cates","en","English"
"Winfried Junge","de","German"
"Farkhot Abdullaev","en","English"
"Ronnie Rondell Jr.","en","English"
"Tommy Lee","en","English"
"Preben Kaas","da","Danish"
"Aaron Sims","en","English"
"Oliver Rihs","de","German"
"Praveen Sattaru","te","Telugu"
"Crayton Robey","en","English"
"Lee Friedlander","en","English"
"Lal Jose","ml","Malayalam"
"Joey Sylvester","en","English"
"Adam Pesce","en","English"
"Juan C. Bofill","en","English"
"Paulo Machline","pt","Portuguese"
"Kunitoshi Manda","ja","Japanese"
"Gabe Torres","en","English"
"Tomasz Wiszniewski","en","English"
"Harry Smith","en","English"
"Sam Jaeger","en","English"
"Cliff Robertson","en","English"
"Mohamed Diab","ar","Arabic"
"Ignacio Ferreras","es","Spanish; Castilian"
"Shimon Dotan","en","English"
"Paula Ortiz","es","Spanish; Castilian"
"William Jennings","en","English"
"Albert Serra","en","English"
"Oriol Porta","en","English"
"Pierre-Yves Vandeweerd","en","English"
"Amy Glazer","en","English"
"Zack Godshall","en","English"
"Kate Novack","en","English"
"Fede Alvarez","en","English"
"Markus Bräutigam","de","German"
"Angelina Nikonova","en","English"
"Åke Ohberg","sv","Swedish"
"David Gladwell","en","English"
"Maurice Capovila","pt","Portuguese"
"Steve Cochran","en","English"
"Pat O'Neill","en","English"
"Tinge Krishnan","en","English"
"Abe Kwong","en","English"
"Milagros Mumenthaler","en","English"
"Pablo Giorgelli","es","Spanish; Castilian"
"Kiyoshi Sasabe","ja","Japanese"
"Francisco Regueiro","en","English"
"Suzan Beraza","en","English"
"Anne Wivel","en","English"
"Eoin Moore","de","German"
"Antonín Moskalyk","cs","Czech"
"John A. Bushelman","en","English"
"Nicholas Ozeki","en","English"
"Matthew Gordon","en","English"
"Rosario Garcia-Montero","es","Spanish; Castilian"
"Amber Sealey","en","English"
"Richard Lowry","en","English"
"T.Y. Drake","en","English"
"Anton Holden","en","English"
"Øystein Karlsen","no","Norwegian"
"Eric Merola","en","English"
"Frédéric Beigbeder","fr","French"
"Mike Williamson","en","English"
"Stefano Sollima","en","English"
"Paul Tickell","en","English"
"Michael Dreher","de","German"
"Mia de Ribot","en","English"
"Christian I. Nyby II","en","English"
"Gustav Ehmck","de","German"
"Manolo Matji","en","English"
"Varon Bonicos","en","English"
"John Furse","en","English"
"Gérard Marx","en","English"
"Freida Lee Mock","en","English"
"Jarred Alterman","en","English"
"Carlos Alberto Riccelli","pt","Portuguese"
"Mike Ott","en","English"
"Peter Delpeut","en","English"
"Chris Grega","en","English"
"Brandon Trost","en","English"
"José Luis Sáenz de Heredia","es","Spanish; Castilian"
"Viktor Ivanov","uk","Ukrainian"
"Eyal Sivan","en","English"
"Annie Goldson","en","English"
"Brett Haley","en","English"
"Laurel Nakadate","en","English"
"Michèle Cournoyer","en","English"
"Manuel Caño","es","Spanish; Castilian"
"Ville Jankeri","fi","Finnish"
"Stefan Schwietert","en","English"
"Fred Fougea","en","English"
"David Jařab","cs","Czech"
"Rodolphe Tissot","de","German"
"Birgit Möller","de","German"
"Adam Foulkes","en","English"
"Orlando Lübbert","en","English"
"Antonio Peláez","en","English"
"Joe Mari Avellana","en","English"
"Andi Niessner","de","German"
"Mark Rosenthal","en","English"
"Wang Bing","en","English"
"Patrick Shen","en","English"
"Paul Mones","en","English"
"Casper Wermuth","en","English"
"Florence Vinger","en","English"
"João Moreira Salles","pt","Portuguese"
"Damien Leone","en","English"
"Richard Rothstein","en","English"
"Vladimir Basov","ru","Russian"
"Masato Ishioka","en","English"
"Martine Dugowson","fr","French"
"Roberto Farias","pt","Portuguese"
"Eduardo Escorel","pt","Portuguese"
"William Joyce","en","English"
"Lionel Rogosin","en","English"
"Zoltán Huszárik","hu","Hungarian"
"Lech Kowalski","en","English"
"Camillo Bazzoni","it","Italian"
"Maureen Gosling","en","English"
"Ryan Redford","en","English"
"Alfredo Sternheim","pt","Portuguese"
"Christopher Rowley","en","English"
"Tara Johns","en","English"
"Christian J. Pinto","en","English"
"Elfar Adalsteins","en","English"
"Damian Nenow","en","English"
"Jordan Bayne","en","English"
"Dennis Steinmetz","en","English"
"Moussa Sene Absa","en","English"
"Yuri Ilyenko","uk","Ukrainian"
"Bob Gebert","en","English"
"May Charters","en","English"
"Bob Bowdon","en","English"
"Sean Jourdan","en","English"
"Benjamin Viré","en","English"
"Jade Castro","en","English"
"George Gale","en","English"
"Dexter Fletcher","en","English"
"Duane Graves","en","English"
"Kealan O'Rourke","en","English"
"Eduardo Valente","pt","Portuguese"
"Laurence Merrick","en","English"
"Jeanette L. Buck","en","English"
"Peter Rowe","en","English"
"Dennis Klein","en","English"
"Izuru Kumasaka","en","English"
"Jorge Montesi","en","English"
"Dan Clark","en","English"
"Sakari Kirjavainen","fi","Finnish"
"William J. Saunders","en","English"
"Heather Courtney","en","English"
"Kevin Tostado","en","English"
"Helena Taberna","en","English"
"Bud Cort","en","English"
"Laurent Achard","en","English"
"George Kuchar","en","English"
"Zal Batmanglij","en","English"
"Nicolás Alcalá","en","English"
"Tomáš Luňák","cs","Czech"
"Chris Mortensen","en","English"
"Nader Galal","en","English"
"Terry Dougas","en","English"
"Günter Schwaiger","en","English"
"Tak Kuroha","en","English"
"Wade Williams","en","English"
"Guy Édoin","fr","French"
"Walter Klenhard","en","English"
"Simon Kaijser","en","English"
"Cheick Fantamady Camara","fr","French"
"Enrique Buchichio","es","Spanish; Castilian"
"Jeffrey Elmont","nl","Dutch; Flemish"
"Annette Ernst","de","German"
"Cornelia Moore","en","English"
"Gideon Amir","en","English"
"Lezli-An Barrett","en","English"
"Amanda Pope","en","English"
"George A. Pappy Jr.","en","English"
"Demian Fuica","en","English"
"Michael A. Hoey","en","English"
"Pablo Solarz","es","Spanish; Castilian"
"Ringo Starr","en","English"
"Reggie Entienza","en","English"
"Saeed Akhtar Mirza","hi","Hindi"
"Johan Timmers","nl","Dutch; Flemish"
"Tengiz Abuladze","ka","Georgian"
"Salah Abouseif","en","English"
"Peter Pedrero","en","English"
"Alan Zweig","en","English"
"Andrea Casaseca Ferrer","en","English"
"Roy Kellino","en","English"
"Muriel Coulin","fr","French"
"Pierre Kast","fr","French"
"Sarah Maldoror","en","English"
"Dean Paraskevopoulos","en","English"
"Franka Potente","de","German"
"Jean-Marie Straub","en","English"
"Aaron Rottinghaus","en","English"
"Keith Miller","en","English"
"Terry Bedford","en","English"
"Robert Loomis","en","English"
"Dennis Przywara","en","English"
"J.C. Khoury","en","English"
"David Friedkin","en","English"
"Alan B. McElroy","en","English"
"Stuart Simpson","en","English"
"Christopher R. Mihm","en","English"
"Gonzalo Castro","es","Spanish; Castilian"
"Bill Berry","en","English"
"Chuck Johnson","en","English"
"Sam Voutas","en","English"
"Hugo Alves","pt","Portuguese"
"Robert Lorenz","en","English"
"Jon Spira","en","English"
"Jennifer Maytorena Taylor","en","English"
"Gaukur Úlfarsson","en","English"
"Robert Anderson","en","English"
"Kris Swanberg","en","English"
"Kit Hood","en","English"
"Mary Bronstein","en","English"
"Emery Hawkins","en","English"
"Bruce Conner","en","English"
"Bogdan Dumitrescu","de","German"
"Margarida Gil","en","English"
"Lorene Scafaria","en","English"
"Elise Swerhone","en","English"
"Emilia Menocal","en","English"
"Cesar Gallardo","en","English"
"Jonathan Sobol","en","English"
"Matthew George","en","English"
"Adoor Gopalakrishnan","ml","Malayalam"
"Joost van Ginkel","nl","Dutch; Flemish"
"Peter Lorre","de","German"
"Flávio Frederico","pt","Portuguese"
"Michael Pohl","de","German"
"Alexandru Maftei","ro","Romanian; Moldavian; Moldovan"
"Harold Trompetero","es","Spanish; Castilian"
"Michael Gilio","en","English"
"Giorgi Shengelaia","en","English"
"Bryan Jones","en","English"
"Andy Signore","en","English"
"Michael Snow","en","English"
"Saurabh Shukla","hi","Hindi"
"Daniel Gruener","es","Spanish; Castilian"
"George Schlatter","en","English"
"George Scott","en","English"
"Konstantin Bojanov","bg","Bulgarian"
"Aleksi Raij","en","English"
"Patricia Arriaga-Jordán","en","English"
"Mang Hoi","en","English"
"Tata Esteban","en","English"
"Matthew Huffman","en","English"
"Alina Teodorescu","de","German"
"Emiliano Corapi","it","Italian"
"Karin Julsrud","no","Norwegian"
"Vadim Jendreyko","en","English"
"Chang Tso-chi","zh","Chinese"
"Arthur Davis","en","English"
"David Helpern","en","English"
"Ramón de España","en","English"
"Alexander Hahn","en","English"
"Orlow Seunke","nl","Dutch; Flemish"
"Gabriel Diamond","en","English"
"Stephen Burrows","en","English"
"Fred Williamson","en","English"
"Ralph Rosenblum","en","English"
"Paul L. Stein","en","English"
"Joon-han Yeo","en","English"
"Julian Farino","en","English"
"Carlo Ausino","en","English"
"Mady Saks","nl","Dutch; Flemish"
"Felix Moeller","de","German"
"Andy Anderson","en","English"
"James Spione","en","English"
"Rebecca Thomas","en","English"
"Joan Espinach","en","English"
"Toni Bestard","en","English"
"Lina Chamie","pt","Portuguese"
"Jes Benstock","en","English"
"José Antonio Escrivá","en","English"
"Xavier De Choudens","fr","French"
"Ruxandra Zenide","en","English"
"Harry Kim","en","English"
"Aimee Lagos","en","English"
"Robert Leacock","en","English"
"Elias Matar","en","English"
"Rich Ragsdale","en","English"
"James Bickert","en","English"
"Kenneth Cran","en","English"
"Rick Walker","en","English"
"Ruggero Dipaola","en","English"
"Mick Kelly","en","English"
"Radek Wegrzyn","pl","Polish"
"Fernando Lopes","pt","Portuguese"
"Vicente Alves do Ó","pt","Portuguese"
"Rita Azevedo Gomes","pt","Portuguese"
"Daniel Calparsoro","es","Spanish; Castilian"
"Frank Strecker","de","German"
"Diego Velasco","es","Spanish; Castilian"
"Ryszard Brylski","en","English"
"José Ramón Novoa","en","English"
"Belma Bas","en","English"
"Rupert Hitzig","en","English"
"Salvador Carrasco","es","Spanish; Castilian"
"Piotr Dumala","en","English"
"Shola Lynch","en","English"
"Agim Sopi","en","English"
"Eros Puglielli","it","Italian"
"Harold Cronk","en","English"
"Mark Hall","en","English"
"Yoav Factor","en","English"
"Iñaki Dorronsoro","es","Spanish; Castilian"
"Harun Farocki","en","English"
"Sándor Sára","en","English"
"Cathal Gaffney","en","English"
"Joseph E. Merideth","en","English"
"Margot Benacerraf","en","English"
"Alejandra Szeplaki","en","English"
"Walter Fornier","es","Spanish; Castilian"
"Jonás Trueba","es","Spanish; Castilian"
"John Lloyd","en","English"
"Iulian Mihu","ro","Romanian; Moldavian; Moldovan"
"Bastian Günther","en","English"
"Masaya Fujimori","ja","Japanese"
"Michael Madison","en","English"
"Hisham Zaman","en","English"
"Jamie Heinrich","en","English"
"Matt Walsh","en","English"
"Jeff Reichert","en","English"
"Diane Paragas","en","English"
"Bess Kargman","en","English"
"João Correa","pt","Portuguese"
"Tamar Halpern","en","English"
"Valérie Massadian","en","English"
"Miklós Lente","en","English"
"Valentín Trujillo","es","Spanish; Castilian"
"Fung Hak-On","en","English"
"Juan Padrón","es","Spanish; Castilian"
"Perry Grebin","en","English"
"Raymond St. Jacques","en","English"
"Ivan Tors","en","English"
"Paul Morrell","en","English"
"Markku Heikkinen","en","English"
"Ivan Aksenchuk","ru","Russian"
"Han  Jie","zh","Chinese"
"Tadashi Imai","ja","Japanese"
"Deborah Morales","en","English"
"Geoffrey Smith","en","English"
"Mark Sheppard","en","English"
"Otto Guerra","pt","Portuguese"
"Karla von Bengtson","da","Danish"
"Jeanie Finlay","en","English"
"Gerard Rutten","nl","Dutch; Flemish"
"Carlo Croccolo","it","Italian"
"Gernot Krää","de","German"
"Eberhard Junkersdorf","de","German"
"Grímur Hákonarson","en","English"
"Neil Berkeley","en","English"
"Anthony Doublin","en","English"
"Muscha","de","German"
"Hernán Goldfrid","es","Spanish; Castilian"
"Márcio Ramos","pt","Portuguese"
"Robert Skotak","en","English"
"François Dompierre","en","English"
"Jun Raquiza","en","English"
"Jon Cohen","en","English"
"Shinya Yamamoto","en","English"
"Judith Krant","en","English"
"Evelyn Lambart","en","English"
"John Depew","de","German"
"Jingda Xu","en","English"
"Renat Davletyarov","ru","Russian"
"Rudy Poe","en","English"
"Gyula Macskássy","en","English"
"Sándor Reisenbüchler","en","English"
"Richard Governor","en","English"
"Rob W. King","en","English"
"Michael J. Shapiro","en","English"
"Gregor Nicholas","en","English"
"Tikoy Aguiluz","en","English"
"Robert Ginty","en","English"
"Jins Shamsudin","en","English"
"David Loeb Weiss","en","English"
"Andre R. Guttfreund","en","English"
"Becky Smith","de","German"
"Arne Nolting","de","German"
"Andrew Bush","en","English"
"Tommaso Dazzi","en","English"
"Gô Shibata","ja","Japanese"
"R. Kelly","en","English"
"Tom E. Brown","en","English"
"Joel DeMott","en","English"
"Shigeru Izumiya","ja","Japanese"
"Christopher Bird","en","English"
"DeMane Davis","en","English"
"Kwyn Bader","en","English"
"Michael Kreihsl","de","German"
"Tom Kingsley","en","English"
"Mike Wallis","en","English"
"Bryan Storkel","en","English"
"Terry Miles","en","English"
"Marilyn Ness","en","English"
"Chris Dapkins","en","English"
"Tim Gorski","en","English"
"Susanne Rostock	","en","English"
"Marcus DeLeon","en","English"
"Zlatko Bourek","hr","Croatian"
"John E. Bryant","en","English"
"Aziz M. Osman","en","English"
"Tom Owens","en","English"
"Rip Torn","en","English"
"Steven Michaels","en","English"
"Hugh A. Robertson","en","English"
"Patrick Doyon","fr","French"
"Amanda Forbis","en","English"
"Grant Orchard","en","English"
"David Baas","en","English"
"Alister Lockhart","en","English"
"Sam Chen","en","English"
"Sumitra Bhave","mr","Marathi"
"Mark Cullingham","en","English"
"Geoffrey Fletcher","en","English"
"David Giler","en","English"
"Gary Tarn","en","English"
"Cüneyt Arkın","en","English"
"Menelaos Karamaghiolis","en","English"
"Yvan Le Moine","en","English"
"Liz Mermin","en","English"
"Nasiruddin Yousuff","bn","Bengali"
"Deren Abram","en","English"
"Javier Mejía","es","Spanish; Castilian"
"Selim Gias Uddin","bn","Bengali"
"Van Fischer","en","English"
"Mariana Rondón","es","Spanish; Castilian"
"Thaelman Urgelles","en","English"
"György Kovásznai","en","English"
"Brian Forti","fr","French"
"Eric Liebman","en","English"
"Rob Heydon","en","English"
"Paul McDermott","en","English"
"Leslie Zemeckis","en","English"
"Philip Cox","en","English"
"Carlos Azpúrua","es","Spanish; Castilian"
"Gheorghe Naghi","en","English"
"James Chressanthis","en","English"
"Amy Grappell","en","English"
"Ziska Riemann","de","German"
"Hajime Hashimoto","ja","Japanese"
"Pablo Croce","pt","Portuguese"
"Adam Blaiklock","en","English"
"Igor Dobrolyubov","ru","Russian"
"Ashley Pearce","en","English"
"Yevgeni Matveyev","ru","Russian"
"Hallvar Witzø","en","English"
"Øyvind Sandberg","en","English"
"Jean Aurel","fr","French"
"Valerie Weiss","en","English"
"Ján Kadár","en","English"
"Robert Taicher","en","English"
"Anthony Newley","en","English"
"J.T. Seaton","en","English"
"Martina Kudlácek","en","English"
"Nirpal Bhogal","en","English"
"Dale Fabrigar","en","English"
"Gerardo Chijona","es","Spanish; Castilian"
"Frank Spano","es","Spanish; Castilian"
"Gianfrancesco Lazotti","it","Italian"
"Brock Morse","en","English"
"Thomas L. Callaway","en","English"
"Chih-yu Hung","en","English"
"Ross Ashcroft","en","English"
"Tanvir Mokammel","bn","Bengali"
"José Miguel Ribeiro","pt","Portuguese"
"Maksud Hossain","en","English"
"Glenn Takakjian","en","English"
"Juan Carlos Desanzo","en","English"
"Eduardo Rodríguez","en","English"
"Bobby Miller","en","English"
"Nino Kirtadze","en","English"
"Clarissa Campolina","pt","Portuguese"
"Jimmy Lifton","en","English"
"Rachel Gordon","en","English"
"Robert Freeman","en","English"
"Paulette Victor-Lifton","en","English"
"Sebastián Alarcón","en","English"
"Ernie Damen","nl","Dutch; Flemish"
"Vladimir Mashkov","ru","Russian"
"Fernando Spiner","es","Spanish; Castilian"
"Ron Merk","en","English"
"Miguel Contreras Torres","es","Spanish; Castilian"
"Max Zähle","de","German"
"Andrew Bowler","en","English"
"Ivaylo Hristov","en","English"
"Arend Steenbergen","nl","Dutch; Flemish"
"Tôru Kawashima","ja","Japanese"
"Michael Bortman","en","English"
"Chris Donovan","en","English"
"Peggy Stern","en","English"
"W. Peter Iliff","en","English"
"Abdullah Al Mamun","en","English"
"Barbara Willis Sweete","en","English"
"Ridha Behi","en","English"
"Faouzi Bensaïdi","en","English"
"Tyron Montgomery","xx",NA
"Michael MacDonald","en","English"
"Harry Rasky","en","English"
"Zahir Raihan","en","English"
"Khan Ataur Rehman","en","English"
"Zeina Durra","en","English"
"Waleed Moursi","en","English"
"Phil Donahue","en","English"
"Renny Bartlett","en","English"
"Alamgir Kabir","bn","Bengali"
"Lee Vervoort","en","English"
"Sheikh Niamat Ali","en","English"
"Claudia Lehmann","en","English"
"Ilya Kopalin","en","English"
"John A. Gallagher","en","English"
"Kara Blake","en","English"
"Tomu Uchida","ja","Japanese"
"Victor Kossakovsky","en","English"
"Martin Arnold","en","English"
"John Whitney Sr.","en","English"
"Aik Karapetian","lv","Latvian"
"Morshedul Islam","bn","Bengali"
"Alfredo J. Anzola","es","Spanish; Castilian"
"Dusty Bias","en","English"
"Pierre-Olivier Mornas","fr","French"
"M. Sadiq","ur","Urdu"
"Pierre-André Boutang","fr","French"
"Aleksandr Medvedkin","en","English"
"Mario Morra","en","English"
"Xavier Palud","fr","French"
"Bradley Parker","en","English"
"Jakob Ziemnicki","de","German"
"Destiny Ekaragha","en","English"
"Florián Rey","en","English"
"Luis R. Vera","es","Spanish; Castilian"
"Larry Moyer","en","English"
"Fay Ann Lee","en","English"
"Shannah Laumeister","en","English"
"Aleksandr Adabashyan","en","English"
"Sacha Parisot","en","English"
"Richard Taylor","en","English"
"Mircea Drăgan","ro","Romanian; Moldavian; Moldovan"
"Herbert Kline","en","English"
"Shinsuke Ogawa","en","English"
"Shô Igarashi","ja","Japanese"
"Néstor Montalbano","en","English"
"Stuart J. Levy","en","English"
"Adriano Luz","en","English"
"Chuck Rose","en","English"
"Reed Paget","en","English"
"Sean Barton","en","English"
"Johan van der Keuken","nl","Dutch; Flemish"
"Bruce Baillie","en","English"
"Bora Dağtekin","de","German"
"Rob Fitz","en","English"
"Ray Boseley","en","English"
"Paolo Campana","en","English"
"Cristian Solimeno","en","English"
"Claude Binyon","en","English"
"Gonçalo Tocha","en","English"
"Vivian Pieters","nl","Dutch; Flemish"
"Miguel Gonçalves Mendes","en","English"
"Keegan Wilcox","en","English"
"Liang Zhao","en","English"
"Silvano Agosti","it","Italian"
"Yi Jian","en","English"
"Ifa Isfansyah","en","English"
"Valentin Vaala","fi","Finnish"
"Zale Dalen","en","English"
"Ryan Denmark","en","English"
"José Filipe Costa","en","English"
"Guy J. Louthan","en","English"
"Martin Clapp","en","English"
"Emmanuel Silvestre","de","German"
"Tristan Aurouet","fr","French"
"Scout Shannon","en","English"
"Benicio del Toro","en","English"
"Riley Stearns","en","English"
"Kyle Cooper","en","English"
"Jason Ruscio","en","English"
"Marc Connelly","en","English"
"Juan Estelrich","en","English"
"Alejandro Saderman","en","English"
"Alejandro Bellame","es","Spanish; Castilian"
"Marité Ugás","es","Spanish; Castilian"
"Les Rose","en","English"
"Bill Bain","en","English"
"Shirley MacLaine","en","English"
"Amy Seimetz","en","English"
"Jeff Morales","en","English"
"Greg Zglinski","fr","French"
"Lucien Hubbard","en","English"
"Alan Stewart","en","English"
"Beau Bridges","en","English"
"Fu Shen","en","English"
"Caroline Leaf","en","English"
"Kevin Mazur","en","English"
"Luis Miñarro","en","English"
"Enrico Santos","en","English"
"Richard Burton","en","English"
"Joseph Ruggieri","en","English"
"Jonathan Blank","en","English"
"Neil Patrick Harris","en","English"
"Jerome Sable","en","English"
"Nikolai van der Heyde","en","English"
"Henri Colpi","en","English"
"Jason Connell","en","English"
"Ivan Goldschmidt","fr","French"
"Peter Refn","da","Danish"
"Ray Brady","en","English"
"John Real","it","Italian"
"Julio Hernández Cordón","es","Spanish; Castilian"
"John Grooters","en","English"
"Patrick Hasson","en","English"
"Alex Coletti","en","English"
"Matt Ruskin","en","English"
"Michael Fields","en","English"
"Alain Zaloum","en","English"
"Stanley Isaacs","it","Italian"
"Roberto Pires","pt","Portuguese"
"Henry M. Lebo","en","English"
"Deborah Hoffmann","en","English"
"Elia Schneider","es","Spanish; Castilian"
"Jason van Genderen","en","English"
"Rex Bromfield","en","English"
"Jarreth J. Merz","en","English"
"Eva Sereny","en","English"
"Fernando Allende","es","Spanish; Castilian"
"Victor Lopes","pt","Portuguese"
"Erik Charell","de","German"
"Yasujirô Shimazu","ja","Japanese"
"King Baggot","en","English"
"Maja Miloš","sr","Serbian"
"Heidi Van Lier","en","English"
"Louis Cuny","en","English"
"Dennis Woodyard","en","English"
"Francesc Betriu","es","Spanish; Castilian"
"Katie Dellamaggiore","en","English"
"Paolo Bianchini","it","Italian"
"Jeff Winner","en","English"
"Alan Bell","en","English"
"Oh Young-Doo","ko","Korean"
"Tien Peng","en","English"
"Marisa Sistach","es","Spanish; Castilian"
"Volker Vogeler","de","German"
"Marco Dutra","pt","Portuguese"
"Jamie Patterson","en","English"
"Aitor Gaizka","en","English"
"Audrius Stonys","en","English"
"William Lee","en","English"
"Boris Gerrets","en","English"
"Jody Lee Lipes","en","English"
"Ömer Kavur","en","English"
"Margien Rogaar","nl","Dutch; Flemish"
"Jet Homoet","en","English"
"Debbie Lum","en","English"
"Tim Sutton","en","English"
"Christopher St. John","en","English"
"LeRoy Prinz","en","English"
"William Reilly","en","English"
"Gary Conrad","en","English"
"Francisco Lara Polop","es","Spanish; Castilian"
"Dunia Ayaso","es","Spanish; Castilian"
"Sami Saif","en","English"
"Emmanuelle Millet","fr","French"
"Gabriel Carrer","en","English"
"Franco Piavoli","en","English"
"Emilio Ruiz Barrachina","es","Spanish; Castilian"
"Debbie Goodstein","en","English"
"Chris Nolan","en","English"
"A. Dean Bell","en","English"
"Gustavo Balza","en","English"
"Ralph Kinnard","en","English"
"Nikos Koutelidakis","el","Greek, Modern (1453-)"
"Walter Doehner","es","Spanish; Castilian"
"Dennis K. Smith","en","English"
"Raoul Coutard","fr","French"
"Vitaliy Vorobiov","en","English"
"David Bradbury","en","English"
"Revathi","en","English"
"Eduard von Borsody","de","German"
"Paul Sorvino","en","English"
"René van Nie","en","English"
"Martin Rit","en","English"
"Oliver Hermanus","en","English"
"Michiel van Erp","nl","Dutch; Flemish"
"P. David Ebersole","en","English"
"Richard Powell","en","English"
"Phil Churchward","en","English"
"Nouchka van Brakel","nl","Dutch; Flemish"
"Lluís Galter","en","English"
"R. Christian Anderson","en","English"
"Erik van Zuylen","nl","Dutch; Flemish"
"Kieron Hawkes","en","English"
"Su Turhan","de","German"
"Rebecca Rojer","en","English"
"Nina Conti","en","English"
"Emma Burch","en","English"
"Thomas Heise","de","German"
"Jason S. Edwards","en","English"
"Nadav Lapid","en","English"
"Thomas R. Koba","en","English"
"Denny Lawrence","en","English"
"Benoît d'Aubert","en","English"
"Andrew Garrison","en","English"
"Juraj Lehotsky","sk","Slovak"
"Alla Nazimova","en","English"
"Philippe Robert","en","English"
"Sean Else","af","Afrikaans"
"Elodie Keene","en","English"
"Terence Ryan","en","English"
"Jon Jost","en","English"
"Víctor Gaviria","es","Spanish; Castilian"
"Antonio del Amo","en","English"
"Jaime Escallon-Buraglia","en","English"
"Mikel Rueda","es","Spanish; Castilian"
"Paula Hernández","es","Spanish; Castilian"
"Gabrielle Provaas","en","English"
"Renate Costa","en","English"
"Vilsoni Hereniko","en","English"
"António Lopes Ribeiro","pt","Portuguese"
"Su Friedrich","en","English"
"Miguel Santesmases","en","English"
"Luis Oliveros","es","Spanish; Castilian"
"Rosto","en","English"
"David G. Croft","en","English"
"Miles Mander","en","English"
"Ágnes Kocsis","en","English"
"Drew Rosas","en","English"
"Uruphong Raksasad","th","Thai"
"John Holdsworth","en","English"
"Neil Gaiman","en","English"
"John-D Lazatin","en","English"
"Efren Jarlego","en","English"
